location,category,doctor_name,rating,rating_count,experience,consultation_fee,clinic_address,specialization,registration,qualification,phone_number,detail_url
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.180906200142.L1I9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.210903120917.S3M6
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.131221113658.M9G6
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140419175854.G2T2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.230804143557.N7C1
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.230204051607.R6W7
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.170124211339.P3D9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140419135513.S5Y8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.131212125307.W5B8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140418172615.G2C9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.180901143852.Q6U1
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022P6400440
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.171124110343.R7U4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.231205111214.B1E4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PK023337
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.220311111641.P8D9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.170712131039.X2Y7
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.150804182912.V6P1
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.170412123759.W3G1
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140418182104.F6W8
