location,category,doctor_name,rating,rating_count,experience,consultation_fee,clinic_address,specialization,registration,qualification,phone_number,detail_url
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220421020144.C2E6
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.230710181837.Y6X5
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.230209162700.T3B4
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220610220625.Y1I2
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.230108224041.Y3U9
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220421010842.E8Y4
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220420221250.F3N7
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.221019230712.X2B9
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220420222959.Y8Z3
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220420212250.P8D2
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220420220521.J3B2
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.221020214910.I9J2
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.170602202619.I3G1
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220421005038.E3Z7
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.221020213853.Y6K9
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220421021706.S1E7
